Country	Mean Rating	Standard Deviation	Number of Movies
南斯拉夫联邦共和国	9.10	0.00	1
冰島 Iceland	8.90	0.00	1
Guinea	8.90	0.00	1
Gallifrey	8.90	0.16	3
塞尔维亚和黑山	8.70	0.00	1
东德	8.55	0.25	2
乌兹别克斯坦	8.50	0.00	1
沙特阿拉伯	8.30	0.00	1
丹麥 Denmark	8.30	0.00	1
尼日尔	8.20	0.00	1
1958-06-29	8.20	0.00	1
捷克斯洛伐克	8.09	0.43	19
苏联	8.08	0.61	38
Georgia	7.95	0.15	2
丹麦 Danmark	7.90	0.00	1
前苏联	7.90	0.00	1
捷克共和国	7.80	0.00	1
法國	7.80	0.00	1
Latvia	7.80	0.00	1
Afghanistan	7.80	0.00	1
Jamaica	7.80	0.00	1
马提尼克	7.80	0.00	1
印度India	7.75	0.05	2
USA	7.75	1.38	4
马恩岛	7.70	0.00	1
巴勒斯坦被占领区	7.70	0.00	1
Morocco	7.70	0.00	1
南斯拉夫	7.66	0.85	21
喀麦隆	7.65	0.05	2
原西德	7.63	0.52	9
阿塞拜疆	7.60	0.00	1
马其顿共和国	7.60	0.00	1
利比亚	7.60	0.00	1
伊朗	7.58	0.68	76
塔吉克斯坦	7.57	0.82	3
巴拉圭	7.55	0.35	2
蒙古	7.55	0.75	2
巴勒斯坦	7.50	0.00	1
Cambodia	7.50	0.00	1
捷克 Czech Republic	7.50	0.00	1
巴哈马 Bahamas	7.50	0.00	1
阿鲁巴岛	7.50	0.00	1
英国BBC	7.50	0.00	1
Senegal	7.50	0.00	1
East Germany	7.50	0.50	2
埃及	7.45	0.45	2
亚美尼亚	7.45	0.05	2
白俄罗斯	7.45	0.15	2
古巴	7.45	0.43	8
希腊	7.44	0.94	25
塞浦路斯	7.43	1.09	3
阿尔巴尼亚	7.42	0.79	5
波兰	7.41	0.77	62
土耳其	7.40	0.60	24
约旦	7.40	0.78	3
不丹	7.40	0.00	1
Sri Lanka	7.40	0.00	1
Algeria	7.40	0.00	1
波黑	7.38	0.77	6
马其顿	7.38	0.69	5
阿尔及利亚	7.37	0.90	3
黎巴嫩	7.36	0.76	10
芬兰	7.34	0.85	42
阿富汗	7.34	0.43	5
伊拉克	7.30	0.29	3
Chile	7.30	0.00	1
Malaysia	7.30	0.00	1
Cyprus	7.30	0.00	1
Panama	7.30	0.00	1
哈萨克斯坦	7.28	0.55	10
格鲁吉亚	7.27	0.28	6
俄羅斯	7.25	0.45	2
奥地利	7.24	0.77	83
布基纳法索	7.23	0.41	3
奧地利	7.20	0.00	1
Slovenia	7.20	0.00	1
UK	7.20	0.00	1
摩纳哥	7.20	0.10	2
荷兰	7.20	0.77	98
以色列	7.19	0.67	48
西德	7.19	1.02	112
卡塔尔	7.18	0.57	18
挪威	7.18	0.80	50
乌拉圭	7.18	0.79	9
捷克	7.17	0.96	48
突尼斯	7.17	0.66	12
马里	7.17	0.12	3
瑞士	7.13	0.88	138
克罗地亚	7.12	0.50	15
乌克兰	7.11	0.82	17
英国	7.10	1.17	2231
俄罗斯 Russian	7.10	0.00	1
Slovakia	7.10	0.60	2
塞尔维亚和孟的内哥	7.10	0.00	1
毛利塔尼亚	7.10	0.00	1
拉脱维亚	7.10	1.13	3
意大利	7.10	0.97	913
丹麦	7.09	0.91	161
法国	7.09	0.87	2688
斯洛伐克	7.08	0.86	9
爱尔兰 Ireland	7.07	0.69	4
瑞典	7.07	1.03	220
匈牙利	7.05	1.03	51
斯洛文尼亚	7.04	0.82	9
阿根廷	7.03	0.93	86
科索沃	7.00	0.00	1
毛里塔尼亚	7.00	0.00	2
巴布亚新几内亚	7.00	0.00	1
