Movie	Mean Rating	Rating Count	Cold Index
我和我的女孩	9.5	1039	49.00820349436978
第十二夜	9.5	1262	47.66648794403957
丹尼尔·斯洛斯：现场表演	9.2	1021	47.57736113629284
最佳污点	9.2	993	47.428841106786344
无头骑士异闻录第二季：结 OVA	9.1	1010	47.13181569666393
谁害怕弗吉尼亚·伍尔芙？	9.1	1064	46.78753877219955
四签名	9.0	1011	46.607414321945434
悠哉日常大王 OAD	9.0	993	46.397779343595346
黄子华栋笃笑之金盘𠺘口	9.4	943	46.35247459664376
西蒙·阿姆斯特尔：麻木	9.3	952	46.235959580538655
福尔摩斯：驼背人	8.9	1035	45.93788444173339
吹响悠风号 TV未放送回	9.0	1160	45.70867117581579
林肯公园：革命之路	9.4	1563	45.70420421078997
孤身骑车人	8.9	1092	45.59131942938861
神秘博士：DT的视频日志：最后的日子	9.6	902	45.5600822415173
福尔摩斯：海军协定	8.8	1016	45.540159706416766
无头骑士异闻录第二季：转 OVA	8.8	1026	45.477554023854324
机动战士高达 雷霆宙域 DECEMBER SKY	8.8	1057	45.287283939371406
棒球英豪 在你离开之后	8.9	1162	45.18966074340699
帷幕：波洛的最后一案	9.1	1458	44.705221061120014
云	8.6	1003	44.58560029487777
欢乐树的朋友们：滑雪巡逻救生队	9.1	1509	44.47796255419419
赛文奥特曼 我是地球人	9.0	944	44.420550739468815
神奇独角马	8.7	1126	44.373039916134054
排球少年：VS“不及格”	8.8	967	44.34286472831987
碧波女贼	8.6	1047	44.317407368800836
海贼王：狂热行动	8.9	1346	44.23939590466517
轻音少女番外篇：计划	8.9	1352	44.210642890634915
抛开自我空间	8.8	1253	44.19996844105085
小树的故事	8.7	1162	44.17416274917312
玩家马布斯博士	8.7	1169	44.136208563903295
机动战士高达 剧场版Ⅰ	8.5	1002	44.0733217663201
巴斯克维尔的猎犬	8.7	1195	43.997198581271704
日本之形	9.0	1536	43.87325896416934
谋杀启事	8.6	1125	43.868555145180196
白线流：就算过了做梦的时候	8.5	1036	43.86729800676502
飞狼	8.6	1127	43.85745973087482
最游记外传OVA第二卷：散华之章	8.6	1128	43.8519194053572
鬼灯的冷彻 OAD3	8.9	1439	43.80748655022042
波希米亚丑闻	8.9	1440	43.802995667559344
人情纸风船	8.6	1140	43.785815967216145
排球少年：列夫参上	8.8	1340	43.770881001354525
新世纪福音战士 第0:0'话 来自黑暗之光	9.2	900	43.57828475585039
双斩少女 TV未放送话	8.8	1389	43.54131622996503
无法避免的战争	8.4	1008	43.51838545815249
歼匪喋血战	8.4	998	43.49205947173617
三生计	8.5	1103	43.48038940374439
小熊维尼:寻找克里斯多夫罗宾	8.6	1201	43.46019786371886
最后一案	9.2	897	43.45303795895572
樱桃小丸子：我喜欢的歌	8.7	1318	43.37809631754171
无头骑士异闻录：天网恢恢	8.8	1429	43.359842321239796
迷失 特别篇 最终旅途	8.8	942	43.35417784267778
圣母街上的大人物	8.4	1048	43.280945220020634
人间有情	8.4	1049	43.27512600724544
龙珠Z特别篇：一个人的最终决战 挑战弗利萨的Z战士 孙悟空之父	8.4	992	43.26708256179944
滑铁卢战役	8.6	1247	43.225408001059954
永不放弃	8.5	1158	43.17995470835223
我的青春恋爱物语果然有问题 第二季 OVA	8.9	1600	43.12187940918936
大地	8.4	1076	43.12006920013553
大雄的怀念奶奶	9.5	2445	43.10289834438728
迷失：过去，现在与未来	8.8	1489	43.09694073833848
灌篮高手 TV版特典	8.6	1276	43.08179899567255
孤苦盲女阿玲	8.5	1181	43.058528093774605
船长二世	8.4	1090	43.04119440103998
迪兰·莫兰：脱身	9.3	875	42.994807846729394
周六夜现场：瑞恩·雷诺兹/Lady Gaga	8.3	998	42.97429685897742
男子游泳部 第二季 Extra Fr	8.3	1015	42.958587420351805
我的妹妹小桃子	8.7	1413	42.93827145950521
轻音少女番外篇：冬日	8.8	931	42.9178186125705
红发会	9.3	873	42.91002888863441
伊凡王子与百变公主	8.3	1026	42.89360209068079
雌雄莫辨	8.4	982	42.891628325570665
粉身碎骨	8.3	1027	42.88772892129998
罗伦佐的油	8.5	1218	42.86806615999435
让风带着我起飞	8.7	1430	42.862696166578246
阿弥陀堂讯息	8.6	1332	42.813493851785616
蜂蜜与四叶草 LF特别篇	9.0	1808	42.80742627454754
特蕾莎修女	8.5	1231	42.80251793726643
尼伯龙根：西格弗里德之死	8.6	953	42.7944951842097
明日之歌	8.4	1143	42.75150583524624
走出寂静	8.3	1052	42.74272895717771
东方红	8.5	1243	42.74262339765659
未生	8.4	1148	42.72487356191768
宾虚	8.5	1255	42.683304314881525
童年的收音机	8.3	1064	42.67434855046773
阿赫迈德王子历险记	8.6	1371	42.63322092864023
罗马11时	9.1	2003	42.606046917999876
麻辣女孩：时间危机	8.6	948	42.60112153033578
棒球英豪 没有背号的王牌投手	8.9	1752	42.53518645353871
迪兰·莫兰：是什么？	9.1	886	42.52590669071864
巴伦	8.2	1010	42.4704273310598
复仇之日	8.4	1197	42.46985071639626
了凡四训	8.6	1410	42.45800487658651
贤治之春	8.8	1646	42.456186347946215
海阔天空	8.5	1311	42.41377710708423
小羊肖恩：美好时光	8.8	1659	42.4059011517363
德黑兰43年	8.6	1424	42.3962866380721
神秘博士：时间冲撞	9.2	2219	42.38988299932606
搬家	8.5	1339	42.28330111905466
红军与白军	8.3	1136	42.2795946930327
九香	8.4	1242	42.244679624028
Free! 男子游泳部 特别版	8.3	978	42.23244833249315
圣·拉尔夫	8.3	1145	42.23201946058497
人鱼之伤	8.4	1250	42.20550488828094
绅士的启示联盟	8.3	1156	42.174377225021345
小逃亡者	8.6	1481	42.15111723923812
青春之旅 TV未放送第13话	8.5	1368	42.151010627063314
牙医之死	8.2	1067	42.143429686629034
看狗在说话	8.6	1483	42.14268712107392
鸟，孤儿和愚人	8.3	1163	42.13798068908014
永远活下去	8.3	1167	42.11728089915635
与春同行	8.2	1077	42.0878679809871
鲁邦三世：次元大介的墓碑	8.7	1624	42.05876201541588
新天堂星探	8.2	1091	42.01094218555805
群众	8.4	1291	42.008589561633514
随我婆娑	8.3	1191	41.99455283628691
偶然与巧合	8.7	1641	41.99295498981578
祖母	8.1	1004	41.987551215875655
我亲爱的甜橙树	8.5	1406	41.98184715831687
龙珠Z特别篇：绝望的反抗!! 仅存的超战士悟饭和特兰克斯	8.3	1195	41.97433887638565
银河铁道999	8.6	1526	41.96413803407069
熊猫的故事	9.0	2059	41.95758772198982
仙人掌花	8.1	1011	41.94667288975089
永不独行	8.4	1310	41.91944730819809
忍者小英雄	8.3	1207	41.914100494539184
杰克	8.2	1109	41.913475383592036
小岛	8.1	1018	41.90607662430761
下水道	8.5	1425	41.898972351951905
拉孔布·吕西安	8.3	1213	41.8842055181131
蓝宝石案	8.9	893	41.87443991777664
轻音少女番外篇：访问	8.9	1941	41.8729158966951
味浓情更浓	8.4	1321	41.86842771372974
浮生狂想曲	8.2	1120	41.85468810673412
放浪记	8.5	1438	41.84290277705833
吹响悠风号剧场版：欢迎来到北宇治高中吹奏乐部	8.5	941	41.837910750306165
续·终物语	8.6	1558	41.834499833113284
赤色杀机	8.1	1036	41.80295457115254
奥菲斯的遗嘱	8.3	1230	41.80029934659753
弗兰西斯	8.3	966	41.7861588119844
人斩	8.1	1040	41.780281959614406
阿尔卡特兹的养鸟人	8.8	1830	41.77884091344041
欢愉	8.4	1342	41.772195657499864
土地与自由	8.1	1043	41.763334654339495
开麦拉狂想曲	8.4	1345	41.75857128831299
春天花盛开	8.1	993	41.75800140923581
亚人3：冲戟	8.2	1139	41.754493392203194
跳跃大搜查线：97岁末特别警戒篇	8.7	1708	41.74007165675572
南家三姐妹 甜品别腹	8.1	1053	41.70719362328082
千面佳人	8.7	1721	41.69215565753592
野玫瑰之恋	8.2	977	41.686914587450396
生死花园	8.7	1729	41.6628484613492
人生	8.1	1063	41.65158323372472
日本最长的一天	8.2	1161	41.64054576360642
小黄狗的窝	8.3	1267	41.62161915427008
户田家兄妹	8.2	975	41.61347815935908
初恋	8.4	1383	41.588578711550475
国王与王后	8.1	988	41.57708305912364
佛在耻辱中倒塌	8.2	974	41.57675078510037
机动战士高达 剧场版Ⅲ 相逢在宇宙	8.7	909	41.56484110857102
扯蛋圣诞史	8.1	1083	41.541914906370515
大宅门	9.1	862	41.53043268452061
座头市物语	8.1	1095	41.47708190418658
召唤恶魔阿萨谢尔OAD：海葵篇	8.7	1782	41.47204746755337
街区男孩	8.1	1102	41.43958997222673
真爱	8.1	1103	41.43425343180348
茄子：旅行箱中的候鸟	8.4	1420	41.42748948835512
小猫的故事	8.6	1667	41.412080262556536
我的英雄学院OAD2：死亡训练	8.8	1952	41.36631139038226
猫和老鼠：火星之旅	8.4	1439	41.34639180020803
带子雄狼：出租孩子与武艺	8.0	1027	41.337570044626474
蓬车队	8.0	1033	41.30372005080701
绞死刑	8.3	953	41.30166395685356
野火	8.2	1234	41.27734304554057
只爱陌生人	8.2	1235	41.27251828087582
不可思议的收缩人	8.1	1141	41.2349702586733
锦上添花	8.2	1244	41.22927037414381
盗日者	8.2	1245	41.224484378182844
王菲：幻乐一场	8.9	2146	41.22385238613655
悲惨世界	8.3	1357	41.20789535055134
阿阿奇与西西帕克	8.0	992	41.206745296951844
狼犬历险记	8.0	992	41.206745296951844
侍	8.2	1252	41.19108965588303
幕末太阳传	8.0	1054	41.186774194211004
T省的八四、八五年	8.6	1729	41.18396514570151
犯罪现场调查完结篇：不朽	8.5	1600	41.18381741327074
旧罪的阴影	8.1	1152	41.178520728785784
钢之炼金术师：师傅的故事	9.0	2320	41.177386749778336
宗方姐妹	8.0	991	41.17101420850112
半边人	8.0	1058	41.16476318617492
跳跃大搜查线：秋季犯罪扑灭特別篇	8.4	1489	41.13798888659582
烟	8.3	1374	41.13283781999237
穿制服的女孩	8.2	1269	41.11075926879455
理查三世	8.6	1752	41.101416123644135
叛国作家	8.6	1756	41.08717046955316
莱昂莫汉神父	8.3	1386	41.08041307319454
是，大臣 1984圣诞特辑	9.8	3965	41.02259908063407
大地在波动	8.1	1183	41.022289195732846
奥菲斯	8.4	1518	41.02029858667961
我的英雄学院 第2季：英雄笔记	8.8	2064	41.00969362826752
博学无术	8.3	1410	40.976911683217224
心中天网岛	8.1	1197	40.95307033366782
科学怪人	7.9	1004	40.95082155622441
剧场版 破刃之剑 第四章 惨祸之地	7.9	1007	40.933700918161705
柠檬水	8.5	1667	40.93054444555007
囚车驶向圣地	7.9	1009	40.92231547209733
传说中的圣斗士奥路菲	7.9	1012	40.90527954785588
决斗尤玛镇	7.9	998	40.903246407942355
剧场版 破刃之剑 第五章 死线之涯	7.9	1016	40.88264337280596
两头笨狗	8.7	1969	40.841442591935476
一曲相思情未了	8.1	1220	40.841092344998884
燕特尔	8.2	954	40.840910677763965
亨利六世：第二部分	8.3	1444	40.833261251394845
跳出我天地音乐剧	9.4	814	40.82916438281764
最后决战	8.0	1122	40.82347470349491
豺狼的日子	8.2	1332	40.82216855635372
人间的条件(第一、二部)	8.7	1986	40.787116594416396
青春之旅 OAD - unwritten -	8.3	939	40.778704168543776
